text,true_label,true_score,predicted_score,prediction_status,reason
الافلام الجديدة لمذبحة رابعة اقدمها للسفير ابراهيم يسرى ليعيد التفكير فى مبادرته ولكل من يفكر فى عمل مبادرة جديدة,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
نفسي ارجع لأيام كانت الحاجه الوحيده اللي مش تخليني اعرف انام لما يبقي عندي رحله في المدرسه تاني يوم #ذكريات_مدرسية,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
كان الأولى أن يكتبوا على جميع حوائط المدينة: حافظوا على نظافة نفسيتكم,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
الابراشى ينتخب الشيطان لو نافس الاخوان وينتخبه لو دخل ضد الرسول الشيطان لازم ينتخب الى زيه,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
طبيعي لأنهم في الخلف !!,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
كونوا على يقين أن هناك شيء ينتظركم بعد الصبر ليبهركم فينسيكم مرارة الألم و الحزن و التضحيات,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
شعار المرحلة #السكة_شمال,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
لا تجعل الطريق يأخذك حيثما يتجه بل إذهب حيث لا يوجد طريق و اترك آثارك,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
#حلاوتك_وانت عامل نفسك دكر و راجل قدام امك و بتبقى مرمطون و شخشخية ف ايد البنت بتاعتك #استرجل,NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
"#خالد_علي: رفع أسعار #الغاز ""إجرام سياسي""",NEG,2,3,راضٍ,فشل في الاتصال بالنموذج
يوم الجمعة هو أحب الأيام للمصريين الأحرار يلتقون معا فى الشوارع بلا موعد ولا ترتيبات يهتفون للحرية وللشرعية ولخير مصر وسقوط الانقلاب,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
علاء الاسواني: رأيي أننا متحضرون لكننا نعيش في دولة غير متحضرة أقرأ المقال كامل,NEUTRAL,3,3,راضٍ,فشل في الاتصال بالنموذج
فيلم الشتا اللي فات نزل الخليج :),OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
أسعد الله ظهيرتكم يا أحبه السحابه القويه مساء الأمس وصل سيلها الى قرية أبيار الماشي جنوب #المدينة_المنورة صباح اليوم …,OBJ,3,3,راضٍ,فشل في الاتصال بالنموذج
سيادة الرئيس، أنا أحترمك بقدر احترامك للمحكمة الدستورية,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
عظيم نجاح أجهزة الدولة وبالتعاون مع أهل سيناء في إطلاق سراح الجنود المختطفين دون إراقة للدماء، هذه إدارة أزمة ناجحة ينبغي الإشادة بها,POS,4,3,راضٍ,فشل في الاتصال بالنموذج
